Date,Open,High,Low,Close,Adj Close,,,,,,,
7/1/2020,3105.919922,3128.439941,3101.169922,3115.860107,3115.860107,,,,,,,
7/2/2020,3143.639893,3165.810059,3124.52002,3130.01001,3130.01001,,,,,,,
7/6/2020,3155.290039,3182.590088,3155.290039,3179.719971,3179.719971,,,,,,,
7/7/2020,3166.439941,3184.149902,3142.929932,3145.320068,3145.320068,,,,,,,
7/8/2020,3153.070068,3171.800049,3136.530029,3169.939941,3169.939941,,,,,,,
7/9/2020,3176.169922,3179.780029,3115.699951,3152.050049,3152.050049,,,,,,,
7/10/2020,3152.469971,3186.820068,3136.219971,3185.040039,3185.040039,,,,,,,
7/13/2020,3205.080078,3235.320068,3149.429932,3155.219971,3155.219971,,,,,,,
7/14/2020,3141.110107,3200.949951,3127.659912,3197.52002,3197.52002,,,,,,,
7/15/2020,3225.97998,3238.280029,3200.76001,3226.560059,3226.560059,,,,,,,
7/16/2020,3208.360107,3220.389893,3198.590088,3215.570068,3215.570068,,,,,,,
7/17/2020,3224.209961,3233.52002,3205.649902,3224.72998,3224.72998,,,,,,,
7/20/2020,3224.290039,3258.610107,3215.159912,3251.840088,3251.840088,,,,,,,
7/21/2020,3268.52002,3277.290039,3247.77002,3257.300049,3257.300049,,,,,,,
7/22/2020,3254.860107,3279.320068,3253.100098,3276.02002,3276.02002,,,,,,,
7/23/2020,3271.639893,3279.98999,3222.659912,3235.659912,3235.659912,,,,,,,
7/24/2020,3218.580078,3227.26001,3200.050049,3215.629883,3215.629883,,,,,,,
7/27/2020,3219.840088,3241.429932,3214.25,3239.409912,3239.409912,,,,,,,
7/28/2020,3234.27002,3243.719971,3216.169922,3218.439941,3218.439941,,,,,,,
7/29/2020,3227.219971,3264.73999,3227.219971,3258.439941,3258.439941,,,,,,,
7/30/2020,3231.76001,3250.919922,3204.129883,3246.219971,3246.219971,,,,,,,
